band,song
Abba,Angel Eyes
Abba,As Good As New
Abba,Chiquitita
Abba,Dancing Queen
Abba,Day Before You Came
Abba,Does Your Mother Know
Abba,Fernando
Abba,Gimme Gimme Gimme
Abba,Happy New Year
Abba,Hasta Manana
Abba,Head Over Heels
Abba,Honey Honey
Abba,I Do I Do I Do
Abba,I Have A Dream
Abba,"Knowing Me, Knowing You"
Abba,Lay All Your Love On Me
Abba,Mamma Mia
Abba,Money Money Money
Abba,Name Of The Game
Abba,One Of Us
Abba,Ring Ring
Abba,Rock Me
Abba,So Long
Abba,Sos
Abba,Stars On 45
Abba,Summer Night City
Abba,Super Trouper
Abba,Take A Chance On Me
Abba,Thank You For The Music
Abba,Voulezvous
Abba,Waterloo
Abba,Winner Takes It All
